Organization,AwardedAmountToDate,,,,Organization,AwardedAmountToDate,,,
Arizona State University,"$1,832,432.00 ",,,,Arizona State University,"$3,676,294.00 ",,,
Arizona State University,"$287,544.00 ",,,,Arkansas State University Main Campus,"$257,785.00 ",,,
Arizona State University,"$504,615.00 ",,,,Baylor College of Medicine,"$146,058.00 ",,,
Arizona State University,"$887,232.00 ",,,,Brigham & Women's Hospital Inc,"$406,411.00 ",,,
Arizona State University,"$72,462.00 ",,,,Brigham Young University,"$12,870.00 ",,,
Arizona State University,"$92,009.00 ",,,,Carnegie-Mellon University,"$4,050,717.00 ",,,
Arkansas State University Main Campus,"$257,785.00 ",,,,Children's Hospital Corporation,"$672,956.00 ",,,
Baylor College of Medicine,"$146,058.00 ",,,,Christiana Care Health Services Incorporated,"$367,418.00 ",,,
Brigham & Women's Hospital Inc,"$406,411.00 ",,,,Clemson University,"$1,685,534.00 ",,,
Brigham Young University,"$12,870.00 ",,,,Cleveland State University,"$1,529,599.00 ",,,
Carnegie-Mellon University,"$678,850.00 ",,,,Columbia University,"$2,763,677.00 ",,,
Carnegie-Mellon University,"$686,266.00 ",,,,Consortium of Universities for the Advancement of Hydrologic Sci,"$12,118.00 ",,,
Carnegie-Mellon University,"$846,572.00 ",,,,Cooper Union,"$30,643.00 ",,,
Carnegie-Mellon University,"$1,271,272.00 ",,,,Cornell University,"$2,667,262.00 ",,,
Carnegie-Mellon University,"$316,000.00 ",,,,Dartmouth College,"$864,062.00 ",,,
Carnegie-Mellon University,"$251,757.00 ",,,,Drexel University,"$602,994.00 ",,,
Children's Hospital Corporation,"$672,956.00 ",,,,Emory University,"$133,752.00 ",,,
Christiana Care Health Services Incorporated,"$367,418.00 ",,,,Florida Atlantic University,"$166,935.00 ",,,
Clemson University,"$821,066.00 ",,,,"Florida Institute for Human and Machine Cognition, Inc.","$192,193.00 ",,,
Clemson University,"$271,250.00 ",,,,Florida International University,"$240,129.00 ",,,
Clemson University,"$593,218.00 ",,,,Florida State University,"$200,001.00 ",,,
Cleveland State University,"$1,529,599.00 ",,,,Fordham University,"$420,000.00 ",,,
Columbia University,"$272,047.00 ",,,,George Mason University,"$907,135.00 ",,,
Columbia University,"$1,994,224.00 ",,,,George Washington University,"$269,505.00 ",,,
Columbia University,"$202,949.00 ",,,,Georgia Tech Research Corporation,"$2,201,653.00 ",,,
